,,Name,"Profile ID",Date,Likes,Comment,"Comment ID","(view source)"
38,,mpquezadam,44214221,"2021-09-06 20:22:43",0,@mariasaenz__,18022483465317719,https://www.instagram.com/p/CTdkvFPoVZ3/c/18022483465317719
39,,mpquezadam,44214221,"2021-09-06 20:22:48",0,@quezo07,17920019362885540,https://www.instagram.com/p/CTdkvFPoVZ3/c/17920019362885540
40,,pauarriaza,194208100,"2021-09-06 20:22:51",1,@gabyfloresgurdian,17916936790932623,https://www.instagram.com/p/CTdkvFPoVZ3/c/17916936790932623
41,,tefagallio24,30578119,"2021-09-06 20:24:15",0,@luchavm,17920447774882731,https://www.instagram.com/p/CTdkvFPoVZ3/c/17920447774882731
42,,tefagallio24,30578119,"2021-09-06 20:24:19",0,@lucygarcia18,17892832781349688,https://www.instagram.com/p/CTdkvFPoVZ3/c/17892832781349688
43,,ximem99,24922826,"2021-09-06 20:24:24",0,@murielcardenass,17881257056422653,https://www.instagram.com/p/CTdkvFPoVZ3/c/17881257056422653
44,,ximem99,24922826,"2021-09-06 20:24:28",0,@marianaescalonj,17937833287565352,https://www.instagram.com/p/CTdkvFPoVZ3/c/17937833287565352
45,,tefagallio24,30578119,"2021-09-06 20:24:29",1,@pichitahl,17887252907425575,https://www.instagram.com/p/CTdkvFPoVZ3/c/17887252907425575
46,,ximem99,24922826,"2021-09-06 20:24:31",0,@maria.hernandezr,17904996152128445,https://www.instagram.com/p/CTdkvFPoVZ3/c/17904996152128445
47,,ximem99,24922826,"2021-09-06 20:24:33",0,@asaravia2,17873708648504462,https://www.instagram.com/p/CTdkvFPoVZ3/c/17873708648504462
48,,tefagallio24,30578119,"2021-09-06 20:24:36",0,@geraldpuccetti,18248171734055156,https://www.instagram.com/p/CTdkvFPoVZ3/c/18248171734055156
49,,ximem99,24922826,"2021-09-06 20:24:39",0,@_valemayorga,18123297835245026,https://www.instagram.com/p/CTdkvFPoVZ3/c/18123297835245026
50,,ximem99,24922826,"2021-09-06 20:24:42",0,@isabeelgamez,18250999801002436,https://www.instagram.com/p/CTdkvFPoVZ3/c/18250999801002436
51,,tefagallio24,30578119,"2021-09-06 20:24:53",0,@maris15592,17942010451573728,https://www.instagram.com/p/CTdkvFPoVZ3/c/17942010451573728
52,,tefagallio24,30578119,"2021-09-06 20:25:03",0,@paulinamontenegro,18000665644361078,https://www.instagram.com/p/CTdkvFPoVZ3/c/18000665644361078
53,,tefagallio24,30578119,"2021-09-06 20:25:07",0,@beamendozaf,17941153243541666,https://www.instagram.com/p/CTdkvFPoVZ3/c/17941153243541666
54,,tefagallio24,30578119,"2021-09-06 20:25:13",0,@anamf90,17936238160623405,https://www.instagram.com/p/CTdkvFPoVZ3/c/17936238160623405
55,,tefagallio24,30578119,"2021-09-06 20:25:20",0,@mareabascal,18146879563175986,https://www.instagram.com/p/CTdkvFPoVZ3/c/18146879563175986
56,,tefagallio24,30578119,"2021-09-06 20:25:24",0,@suadtalgi,18145025230174597,https://www.instagram.com/p/CTdkvFPoVZ3/c/18145025230174597
57,,ximejansa,22750506,"2021-09-06 20:26:15",0,@fabuch,17975514337422505,https://www.instagram.com/p/CTdkvFPoVZ3/c/17975514337422505
58,,ximejansa,22750506,"2021-09-06 20:26:22",0,@danisosa9,17861675666608939,https://www.instagram.com/p/CTdkvFPoVZ3/c/17861675666608939
59,,msaenzca,5664635747,"2021-09-06 20:26:41",0,@emisanz,17923037344838168,https://www.instagram.com/p/CTdkvFPoVZ3/c/17923037344838168
60,,msaenzca,5664635747,"2021-09-06 20:26:45",0,@mariannemorel,18237348343067196,https://www.instagram.com/p/CTdkvFPoVZ3/c/18237348343067196
61,,msaenzca,5664635747,"2021-09-06 20:26:49",0,@saraluttma,17927156839744736,https://www.instagram.com/p/CTdkvFPoVZ3/c/17927156839744736
62,,msaenzca,5664635747,"2021-09-06 20:26:53",0,@monaerales,17983347736402174,https://www.instagram.com/p/CTdkvFPoVZ3/c/17983347736402174
63,,ximejansa,22750506,"2021-09-06 20:26:54",0,@luzmanckermann,17926016812711364,https://www.instagram.com/p/CTdkvFPoVZ3/c/17926016812711364
64,,ximem99,24922826,"2021-09-06 20:26:54",0,@isabeelgamez,17933385727650451,https://www.instagram.com/p/CTdkvFPoVZ3/c/17933385727650451
